instruction,response,product_name,total_price,price_per_unit,unit_value,unit
"What is the price per unit for Xochitl No Salt Corn Tortilla Chips, 16 Ounce -- 9 per case.?","The price per unit for Xochitl No Salt Corn Tortilla Chips, 16 Ounce -- 9 per case. is $7.836 per Ounce. The total price is $70.52 for 9.0 Ounce.","Xochitl No Salt Corn Tortilla Chips, 16 Ounce -- 9 per case.",70.52,7.8356,9.0,Ounce
"What is the price per unit for Frontera Spicy Guacamole Mix, 4.5 Ounce Packet (Pack of 8) Pack of 2?","The price per unit for Frontera Spicy Guacamole Mix, 4.5 Ounce Packet (Pack of 8) Pack of 2 is $0.932 per Count. The total price is $14.92 for 16.0 Count.","Frontera Spicy Guacamole Mix, 4.5 Ounce Packet (Pack of 8) Pack of 2",14.92,0.9325,16.0,Count
"What is the price per unit for LorAnn Tropical Punch (Passion Fruit) SS Flavor, 1 dram bottle (.125 fl oz - 3.7ml - 1 teaspoon)?","The price per unit for LorAnn Tropical Punch (Passion Fruit) SS Flavor, 1 dram bottle (.125 fl oz - 3.7ml - 1 teaspoon) is $6.670 per Fl Oz. The total price is $6.67 for 1.0 Fl Oz.","LorAnn Tropical Punch (Passion Fruit) SS Flavor, 1 dram bottle (.125 fl oz - 3.7ml - 1 teaspoon)",6.67,6.67,1.0,Fl Oz
What is the price per unit for Folgers Gormet Selections K-Cup Lively Columbian Medium Roast 18 Count?,The price per unit for Folgers Gormet Selections K-Cup Lively Columbian Medium Roast 18 Count is $0.738 per count. The total price is $13.28 for 18.0 count.,Folgers Gormet Selections K-Cup Lively Columbian Medium Roast 18 Count,13.28,0.7378,18.0,count
"What is the price per unit for Torani Puremade Sauce, White Chocolate, 64 Ounces?","The price per unit for Torani Puremade Sauce, White Chocolate, 64 Ounces is $21.720 per Count. The total price is $21.72 for 1.0 Count.","Torani Puremade Sauce, White Chocolate, 64 Ounces",21.72,21.72,1.0,Count
"What is the price per unit for Imagine Organic Creamy Soup, Sweet Pea, 32 oz. (Pack of 12)?","The price per unit for Imagine Organic Creamy Soup, Sweet Pea, 32 oz. (Pack of 12) is $0.061 per Fl Oz. The total price is $23.62 for 384.0 Fl Oz.","Imagine Organic Creamy Soup, Sweet Pea, 32 oz. (Pack of 12)",23.62,0.0615,384.0,Fl Oz
"What is the price per unit for KIT KAT Breaking Bones White Creme Snack Size, Halloween Wafer Candy Bars Bag, 10.29 oz?","The price per unit for KIT KAT Breaking Bones White Creme Snack Size, Halloween Wafer Candy Bars Bag, 10.29 oz is $1.063 per Ounce. The total price is $10.94 for 10.3 Ounce.","KIT KAT Breaking Bones White Creme Snack Size, Halloween Wafer Candy Bars Bag, 10.29 oz",10.94,1.0632,10.29,Ounce
"What is the price per unit for Sage, Ground, 0.5 Ounces (Pack of 3)?","The price per unit for Sage, Ground, 0.5 Ounces (Pack of 3) is $1.797 per Ounce. The total price is $5.39 for 3.0 Ounce.","Sage, Ground, 0.5 Ounces (Pack of 3)",5.39,1.7967,3.0,Ounce
"What is the price per unit for UTZ Old Fashioned Broken Sourdough Hards Pretzels – 64 oz Barrel – Big and Thick Classic Pretzel Knot Twist, Crunchy Sourdough Pretzel with Zero Cholesterol, 4 Pound (Pack of 1)?","The price per unit for UTZ Old Fashioned Broken Sourdough Hards Pretzels – 64 oz Barrel – Big and Thick Classic Pretzel Knot Twist, Crunchy Sourdough Pretzel with Zero Cholesterol, 4 Pound (Pack of 1) is $0.158 per Ounce. The total price is $10.13 for 64.0 Ounce.","UTZ Old Fashioned Broken Sourdough Hards Pretzels – 64 oz Barrel – Big and Thick Classic Pretzel Knot Twist, Crunchy Sourdough Pretzel with Zero Cholesterol, 4 Pound (Pack of 1)",10.13,0.1583,64.0,Ounce
"What is the price per unit for Maraschino Cherry Oolong Tea (50 tea bags, ZIN: 532627) - 3 Pack?","The price per unit for Maraschino Cherry Oolong Tea (50 tea bags, ZIN: 532627) - 3 Pack is $0.373 per Count. The total price is $56.01 for 150.0 Count.","Maraschino Cherry Oolong Tea (50 tea bags, ZIN: 532627) - 3 Pack",56.01,0.3734,150.0,Count
What is the price per unit for Sure-Jell 100% Natural Premium Fruit Pectin 1.75 oz - PACK OF 3?,The price per unit for Sure-Jell 100% Natural Premium Fruit Pectin 1.75 oz - PACK OF 3 is $3.035 per Ounce. The total price is $15.94 for 5.2 Ounce.,Sure-Jell 100% Natural Premium Fruit Pectin 1.75 oz - PACK OF 3,15.94,3.0352,5.25,Ounce
What is the price per unit for NY Spice Shop Gold Shimmer Gumballs - 1 Pound Gumballs for Gumball Machine - Chewing Gum Dubble Bubble Gumballs - Fruit Flavored Gumballs Bulk Candy - Old Fashioned Candy Gumballs for Machine Refill - 50 Pcs?,The price per unit for NY Spice Shop Gold Shimmer Gumballs - 1 Pound Gumballs for Gumball Machine - Chewing Gum Dubble Bubble Gumballs - Fruit Flavored Gumballs Bulk Candy - Old Fashioned Candy Gumballs for Machine Refill - 50 Pcs is $0.220 per Count. The total price is $10.99 for 50.0 Count.,NY Spice Shop Gold Shimmer Gumballs - 1 Pound Gumballs for Gumball Machine - Chewing Gum Dubble Bubble Gumballs - Fruit Flavored Gumballs Bulk Candy - Old Fashioned Candy Gumballs for Machine Refill - 50 Pcs,10.99,0.2198,50.0,Count
What is the price per unit for Passage to India Ready to Eat Meals - Butter Masala with Basmati Pilaf Rice - Flavorful Vegetarian Indian Food - Easy Microwave Meals (280g)?,The price per unit for Passage to India Ready to Eat Meals - Butter Masala with Basmati Pilaf Rice - Flavorful Vegetarian Indian Food - Easy Microwave Meals (280g) is $0.868 per Fl Oz. The total price is $8.57 for 9.9 Fl Oz.,Passage to India Ready to Eat Meals - Butter Masala with Basmati Pilaf Rice - Flavorful Vegetarian Indian Food - Easy Microwave Meals (280g),8.57,0.8683,9.87,Fl Oz
"What is the price per unit for Durkee Italian Seasoning, 28 Ounce -- 1 each.?","The price per unit for Durkee Italian Seasoning, 28 Ounce -- 1 each. is $49.290 per Count. The total price is $49.29 for 1.0 Count.","Durkee Italian Seasoning, 28 Ounce -- 1 each.",49.29,49.29,1.0,Count
"What is the price per unit for Rockstar Punched Energy Drink, 64 Fl Oz Can?","The price per unit for Rockstar Punched Energy Drink, 64 Fl Oz Can is $0.172 per Fl Oz. The total price is $10.99 for 64.0 Fl Oz.","Rockstar Punched Energy Drink, 64 Fl Oz Can",10.99,0.1717,64.0,Fl Oz
"What is the price per unit for Kraft NotCo Original Flavor Plant Based Mac & Cheese, 6 oz Box?","The price per unit for Kraft NotCo Original Flavor Plant Based Mac & Cheese, 6 oz Box is $0.498 per Ounce. The total price is $2.99 for 6.0 Ounce.","Kraft NotCo Original Flavor Plant Based Mac & Cheese, 6 oz Box",2.99,0.4983,6.0,Ounce
"What is the price per unit for Vlasic Kosher Dill Pickle Spears, Keto Friendly, 24 oz (Pack of 12)?","The price per unit for Vlasic Kosher Dill Pickle Spears, Keto Friendly, 24 oz (Pack of 12) is $0.017 per Ounce. The total price is $4.79 for 288.0 Ounce.","Vlasic Kosher Dill Pickle Spears, Keto Friendly, 24 oz (Pack of 12)",4.79,0.0166,288.0,Ounce
What is the price per unit for Buffalo Bills 16oz Premium Maple Pepper Beef Jerky Pieces (one pound bag in random size pieces)?,The price per unit for Buffalo Bills 16oz Premium Maple Pepper Beef Jerky Pieces (one pound bag in random size pieces) is $2.499 per ounce. The total price is $39.99 for 16.0 ounce.,Buffalo Bills 16oz Premium Maple Pepper Beef Jerky Pieces (one pound bag in random size pieces),39.99,2.4994,16.0,ounce
"What is the price per unit for Andy Anand Red Velvet Cheesecake 9"" | Freshly Baked, All-Natural | Made with Real California Cream Cheese, No Chemicals or Preservatives | Amazingly Delicious & Decadent (2 lbs)?","The price per unit for Andy Anand Red Velvet Cheesecake 9"" | Freshly Baked, All-Natural | Made with Real California Cream Cheese, No Chemicals or Preservatives | Amazingly Delicious & Decadent (2 lbs) is $1.937 per Ounce. The total price is $61.99 for 32.0 Ounce.","Andy Anand Red Velvet Cheesecake 9"" | Freshly Baked, All-Natural | Made with Real California Cream Cheese, No Chemicals or Preservatives | Amazingly Delicious & Decadent (2 lbs)",61.99,1.9372,32.0,Ounce
"What is the price per unit for Lola’s Fine Hot Sauce - Ghost Pepper | All-Natural, Gluten-Free, Keto | Created With Jolokia “Ghost Peppers” | Perfect for Eggs, Nachos, and Brats | 6 PACK x 5 fl oz?","The price per unit for Lola’s Fine Hot Sauce - Ghost Pepper | All-Natural, Gluten-Free, Keto | Created With Jolokia “Ghost Peppers” | Perfect for Eggs, Nachos, and Brats | 6 PACK x 5 fl oz is $44.000 per Count. The total price is $44.00 for 1.0 Count.","Lola’s Fine Hot Sauce - Ghost Pepper | All-Natural, Gluten-Free, Keto | Created With Jolokia “Ghost Peppers” | Perfect for Eggs, Nachos, and Brats | 6 PACK x 5 fl oz",44.0,44.0,1.0,Count
"What is the price per unit for Betty Crocker Super Moist White Cake Mix, 16.25 oz?","The price per unit for Betty Crocker Super Moist White Cake Mix, 16.25 oz is $0.116 per Ounce. The total price is $1.89 for 16.2 Ounce.","Betty Crocker Super Moist White Cake Mix, 16.25 oz",1.89,0.1163,16.25,Ounce
"What is the price per unit for Crystal Light On The Go Fruit Punch Drink Mix, 10-Count Boxes (Pack of 20)?","The price per unit for Crystal Light On The Go Fruit Punch Drink Mix, 10-Count Boxes (Pack of 20) is $3.100 per count. The total price is $62.01 for 20.0 count.","Crystal Light On The Go Fruit Punch Drink Mix, 10-Count Boxes (Pack of 20)",62.01,3.1005,20.0,count
"What is the price per unit for Hot Tamales Fierce Cinnamon Candy, 4.25oz Box Each (Pack of 2) Theater Box, Cinnamon Candy, Gummy Candy, The Hampton Candy Company?","The price per unit for Hot Tamales Fierce Cinnamon Candy, 4.25oz Box Each (Pack of 2) Theater Box, Cinnamon Candy, Gummy Candy, The Hampton Candy Company is $0.852 per Ounce. The total price is $7.24 for 8.5 Ounce.","Hot Tamales Fierce Cinnamon Candy, 4.25oz Box Each (Pack of 2) Theater Box, Cinnamon Candy, Gummy Candy, The Hampton Candy Company",7.24,0.8518,8.5,Ounce
What is the price per unit for John Henry's Raspberry Chipotle Rub?,The price per unit for John Henry's Raspberry Chipotle Rub is $1.690 per Ounce. The total price is $18.25 for 10.8 Ounce.,John Henry's Raspberry Chipotle Rub,18.25,1.6898,10.8,Ounce
What is the price per unit for Sara Lee Bread - Bakery Delightful 100% Multi-Grain-2Pack?,The price per unit for Sara Lee Bread - Bakery Delightful 100% Multi-Grain-2Pack is $0.120 per Fl Oz. The total price is $4.79 for 40.0 Fl Oz.,Sara Lee Bread - Bakery Delightful 100% Multi-Grain-2Pack,4.79,0.1198,40.0,Fl Oz
"What is the price per unit for Emerald Cocoa Roasted Almonds, 5 oz Pack, 6/Carton?","The price per unit for Emerald Cocoa Roasted Almonds, 5 oz Pack, 6/Carton is $1.301 per Ounce. The total price is $39.03 for 30.0 Ounce.","Emerald Cocoa Roasted Almonds, 5 oz Pack, 6/Carton",39.03,1.301,30.0,Ounce
"What is the price per unit for Raspberry Oolong Tea (50 tea bags, ZIN: 530899) - 2 Pack?","The price per unit for Raspberry Oolong Tea (50 tea bags, ZIN: 530899) - 2 Pack is $0.385 per Count. The total price is $38.54 for 100.0 Count.","Raspberry Oolong Tea (50 tea bags, ZIN: 530899) - 2 Pack",38.54,0.3854,100.0,Count
"What is the price per unit for Frito Lay, Ruffles Potato Chips Jalapeno Ranch Flavored, 2.5 Ounce?","The price per unit for Frito Lay, Ruffles Potato Chips Jalapeno Ranch Flavored, 2.5 Ounce is $1.876 per Ounce. The total price is $4.69 for 2.5 Ounce.","Frito Lay, Ruffles Potato Chips Jalapeno Ranch Flavored, 2.5 Ounce",4.69,1.876,2.5,Ounce
What is the price per unit for Hills Bros Instant White Chocolate Caramel Decadent Cappuccino 16 Ounce (Pack of 3)?,The price per unit for Hills Bros Instant White Chocolate Caramel Decadent Cappuccino 16 Ounce (Pack of 3) is $0.271 per Ounce. The total price is $13.00 for 48.0 Ounce.,Hills Bros Instant White Chocolate Caramel Decadent Cappuccino 16 Ounce (Pack of 3),13.0,0.2707,48.0,Ounce
What is the price per unit for Barjan 301004 Island Adventure Shrunken Head?,The price per unit for Barjan 301004 Island Adventure Shrunken Head is $17.900 per count. The total price is $17.90 for 1.0 count.,Barjan 301004 Island Adventure Shrunken Head,17.9,17.9,1.0,count
"What is the price per unit for Wiley Wallaby 6 Ounce Sourrageous Drops Mix of Watermelon, Green Apple and Lemon Soft & Chewy Licorice with a Candy Shell, 2 Pack?","The price per unit for Wiley Wallaby 6 Ounce Sourrageous Drops Mix of Watermelon, Green Apple and Lemon Soft & Chewy Licorice with a Candy Shell, 2 Pack is $1.249 per Ounce. The total price is $14.99 for 12.0 Ounce.","Wiley Wallaby 6 Ounce Sourrageous Drops Mix of Watermelon, Green Apple and Lemon Soft & Chewy Licorice with a Candy Shell, 2 Pack",14.99,1.2492,12.0,Ounce
"What is the price per unit for Jelly Belly Jelly Beans, Mickey Mouse Special Edition, 7.5 Ounce?","The price per unit for Jelly Belly Jelly Beans, Mickey Mouse Special Edition, 7.5 Ounce is $0.576 per ounce. The total price is $4.32 for 7.5 ounce.","Jelly Belly Jelly Beans, Mickey Mouse Special Edition, 7.5 Ounce",4.32,0.576,7.5,ounce
"What is the price per unit for NATURES PATH CEREAL FLK CORN BOX ORG, 10.6 OZ, PK- 12?","The price per unit for NATURES PATH CEREAL FLK CORN BOX ORG, 10.6 OZ, PK- 12 is $0.042 per Ounce. The total price is $5.29 for 127.2 Ounce.","NATURES PATH CEREAL FLK CORN BOX ORG, 10.6 OZ, PK- 12",5.29,0.0416,127.2,Ounce
"What is the price per unit for CENTO TUNA TONNO OOIL, 5 Ounce (Pack of 12)?","The price per unit for CENTO TUNA TONNO OOIL, 5 Ounce (Pack of 12) is $0.091 per Ounce. The total price is $5.49 for 60.0 Ounce.","CENTO TUNA TONNO OOIL, 5 Ounce (Pack of 12)",5.49,0.0915,60.0,Ounce
"What is the price per unit for Eden Foods Organic White Kidney Beans, 15 oz?","The price per unit for Eden Foods Organic White Kidney Beans, 15 oz is $0.356 per oz. The total price is $5.34 for 15.0 oz.","Eden Foods Organic White Kidney Beans, 15 oz",5.34,0.3563,15.0,oz
"What is the price per unit for Dare Cracker water Original, 4.4 oz?","The price per unit for Dare Cracker water Original, 4.4 oz is $1.509 per Ounces. The total price is $6.64 for 4.4 Ounces.","Dare Cracker water Original, 4.4 oz",6.64,1.5091,4.4,Ounces
"What is the price per unit for SoCo Tahini Paste & Pesto Squeeze Packs, Pure Ground Sesame Tahini Sauce, Vegan Pesto Sauces, Plant-Based, Gluten-Free, Non-GMO, Kosher Condiments, 1.09 oz (31 g), Box of 10?","The price per unit for SoCo Tahini Paste & Pesto Squeeze Packs, Pure Ground Sesame Tahini Sauce, Vegan Pesto Sauces, Plant-Based, Gluten-Free, Non-GMO, Kosher Condiments, 1.09 oz (31 g), Box of 10 is $14.950 per Count. The total price is $14.95 for 1.0 Count.","SoCo Tahini Paste & Pesto Squeeze Packs, Pure Ground Sesame Tahini Sauce, Vegan Pesto Sauces, Plant-Based, Gluten-Free, Non-GMO, Kosher Condiments, 1.09 oz (31 g), Box of 10",14.95,14.95,1.0,Count
What is the price per unit for Perfect Samplers Extra Caffeine Extra Bold Coffee Single Serve Cups for Keurig K Cup Brewers 1.0 & 2.0 Variety Pack Sampler (50Count)?,The price per unit for Perfect Samplers Extra Caffeine Extra Bold Coffee Single Serve Cups for Keurig K Cup Brewers 1.0 & 2.0 Variety Pack Sampler (50Count) is $0.800 per Count. The total price is $39.99 for 50.0 Count.,Perfect Samplers Extra Caffeine Extra Bold Coffee Single Serve Cups for Keurig K Cup Brewers 1.0 & 2.0 Variety Pack Sampler (50Count),39.99,0.7998,50.0,Count
What is the price per unit for Blue Diamond Nut-Thins Pecan Nut & Rice Cracker Snacks 4.25 oz (Pack of 4)?,The price per unit for Blue Diamond Nut-Thins Pecan Nut & Rice Cracker Snacks 4.25 oz (Pack of 4) is $6.202 per Count. The total price is $24.81 for 4.0 Count.,Blue Diamond Nut-Thins Pecan Nut & Rice Cracker Snacks 4.25 oz (Pack of 4),24.81,6.2025,4.0,Count
What is the price per unit for Cavendish & Harvey | Citrus Fruit Candy Drops | 7 Ounce Tin?,The price per unit for Cavendish & Harvey | Citrus Fruit Candy Drops | 7 Ounce Tin is $2.057 per Ounce. The total price is $14.40 for 7.0 Ounce.,Cavendish & Harvey | Citrus Fruit Candy Drops | 7 Ounce Tin,14.4,2.0571,7.0,Ounce
"What is the price per unit for Detox Tea Bags | Pyramid Tea Bags, Caffeine-Free, 100% Natural Ingredients, ECO Conscious Packaging | Herbal Tea for Relaxation | Rich Flavor, and Sustainable Enjoyment, 9 Oz (pack of 100)?","The price per unit for Detox Tea Bags | Pyramid Tea Bags, Caffeine-Free, 100% Natural Ingredients, ECO Conscious Packaging | Herbal Tea for Relaxation | Rich Flavor, and Sustainable Enjoyment, 9 Oz (pack of 100) is $2.221 per Ounce. The total price is $19.99 for 9.0 Ounce.","Detox Tea Bags | Pyramid Tea Bags, Caffeine-Free, 100% Natural Ingredients, ECO Conscious Packaging | Herbal Tea for Relaxation | Rich Flavor, and Sustainable Enjoyment, 9 Oz (pack of 100)",19.99,2.2211,9.0,Ounce
"What is the price per unit for Cookie Pop Popcorn Butterfinger Popcorn, Non GMO, 5.25 Ounces (Pack Of 12)?","The price per unit for Cookie Pop Popcorn Butterfinger Popcorn, Non GMO, 5.25 Ounces (Pack Of 12) is $0.024 per Ounce. The total price is $1.49 for 63.0 Ounce.","Cookie Pop Popcorn Butterfinger Popcorn, Non GMO, 5.25 Ounces (Pack Of 12)",1.49,0.0237,63.0,Ounce
"What is the price per unit for Food to Live Premium Dry Beans Bundle, 3 Pack - Black Beans (5 LB), Pinto Beans (5 LB), Navy Beans (5 LB), Non-GMO Verified, Sproutable, Bulk. Rich in Fiber, Protein. Perfect for Soups. Made in USA?","The price per unit for Food to Live Premium Dry Beans Bundle, 3 Pack - Black Beans (5 LB), Pinto Beans (5 LB), Navy Beans (5 LB), Non-GMO Verified, Sproutable, Bulk. Rich in Fiber, Protein. Perfect for Soups. Made in USA is $0.193 per Ounce. The total price is $46.41 for 240.0 Ounce.","Food to Live Premium Dry Beans Bundle, 3 Pack - Black Beans (5 LB), Pinto Beans (5 LB), Navy Beans (5 LB), Non-GMO Verified, Sproutable, Bulk. Rich in Fiber, Protein. Perfect for Soups. Made in USA",46.41,0.1934,240.0,Ounce
What is the price per unit for 1 Bag x Mrs. Fields Cookie Dough Birthday Cake Dessert Toppings - Resealable bag - Imported from US?,The price per unit for 1 Bag x Mrs. Fields Cookie Dough Birthday Cake Dessert Toppings - Resealable bag - Imported from US is $1.159 per Ounce. The total price is $9.85 for 8.5 Ounce.,1 Bag x Mrs. Fields Cookie Dough Birthday Cake Dessert Toppings - Resealable bag - Imported from US,9.85,1.1588,8.5,Ounce
"What is the price per unit for Taylors of Harrogate Sweet Rhubarb Infusion, 20 Teabags?","The price per unit for Taylors of Harrogate Sweet Rhubarb Infusion, 20 Teabags is $0.623 per Count. The total price is $12.45 for 20.0 Count.","Taylors of Harrogate Sweet Rhubarb Infusion, 20 Teabags",12.45,0.6225,20.0,Count
"What is the price per unit for Terrasoul Superfoods Organic Dried Plums Pitted Prunes, 1.5 Lbs - Fiber | Vitamin K | Preservative Free?","The price per unit for Terrasoul Superfoods Organic Dried Plums Pitted Prunes, 1.5 Lbs - Fiber | Vitamin K | Preservative Free is $0.875 per Ounce. The total price is $20.99 for 24.0 Ounce.","Terrasoul Superfoods Organic Dried Plums Pitted Prunes, 1.5 Lbs - Fiber | Vitamin K | Preservative Free",20.99,0.8746,24.0,Ounce
"What is the price per unit for Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Cheese and Peanut Butter, 11oz Tray (8 Packs)?","The price per unit for Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Cheese and Peanut Butter, 11oz Tray (8 Packs) is $0.399 per Ounce. The total price is $4.39 for 11.0 Ounce.","Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Cheese and Peanut Butter, 11oz Tray (8 Packs)",4.39,0.3991,11.0,Ounce
"What is the price per unit for Green Giant Sweet Corn Niblets, No Salt Added, 11 Ounce Can?","The price per unit for Green Giant Sweet Corn Niblets, No Salt Added, 11 Ounce Can is $0.640 per oz. The total price is $7.04 for 11.0 oz.","Green Giant Sweet Corn Niblets, No Salt Added, 11 Ounce Can",7.04,0.64,11.0,oz
What is the price per unit for Unicorn Twist Pops (Individually wrapped set of 12 suckers) Great Party Candy and Favors?,The price per unit for Unicorn Twist Pops (Individually wrapped set of 12 suckers) Great Party Candy and Favors is $0.999 per Count. The total price is $11.99 for 12.0 Count.,Unicorn Twist Pops (Individually wrapped set of 12 suckers) Great Party Candy and Favors,11.99,0.9992,12.0,Count
"What is the price per unit for Hall's Penuche Fudge, 1 Pound?","The price per unit for Hall's Penuche Fudge, 1 Pound is $1.872 per Ounce. The total price is $29.95 for 16.0 Ounce.","Hall's Penuche Fudge, 1 Pound",29.95,1.8719,16.0,Ounce
"What is the price per unit for Bigelow Green Tea With Mint, All Natural, 0.91 Ounces (Pack Of 6)?","The price per unit for Bigelow Green Tea With Mint, All Natural, 0.91 Ounces (Pack Of 6) is $3.452 per Ounce. The total price is $18.85 for 5.5 Ounce.","Bigelow Green Tea With Mint, All Natural, 0.91 Ounces (Pack Of 6)",18.85,3.4524,5.46,Ounce
"What is the price per unit for King Arthur, All Purpose Unbleached Flour, Non-GMO Project Verified, Certified Kosher, No Preservatives, 10 Pounds (Packaging May Vary)?","The price per unit for King Arthur, All Purpose Unbleached Flour, Non-GMO Project Verified, Certified Kosher, No Preservatives, 10 Pounds (Packaging May Vary) is $1.149 per pound. The total price is $11.48 for 10.0 pound.","King Arthur, All Purpose Unbleached Flour, Non-GMO Project Verified, Certified Kosher, No Preservatives, 10 Pounds (Packaging May Vary)",11.48,1.1485,10.0,pound
"What is the price per unit for Spectrum Walnut Oil, 16 oz?","The price per unit for Spectrum Walnut Oil, 16 oz is $0.607 per Fl Oz. The total price is $9.72 for 16.0 Fl Oz.","Spectrum Walnut Oil, 16 oz",9.72,0.6072,16.0,Fl Oz
What is the price per unit for Kerrs Scotch Mints 500g/17.63oz {Imported from Canada}?,The price per unit for Kerrs Scotch Mints 500g/17.63oz {Imported from Canada} is $1.417 per Ounce. The total price is $24.99 for 17.6 Ounce.,Kerrs Scotch Mints 500g/17.63oz {Imported from Canada},24.99,1.4175,17.63,Ounce
What is the price per unit for Todd Bosley's World Famous Ole Smokehouse Barbecue Sauce?,The price per unit for Todd Bosley's World Famous Ole Smokehouse Barbecue Sauce is $1.481 per Ounce. The total price is $19.99 for 13.5 Ounce.,Todd Bosley's World Famous Ole Smokehouse Barbecue Sauce,19.99,1.4807,13.5,Ounce
What is the price per unit for Trader Joe's Chile Spiced Mango Dried Fruit (4 Pack)?,The price per unit for Trader Joe's Chile Spiced Mango Dried Fruit (4 Pack) is $0.967 per Ounce. The total price is $30.94 for 32.0 Ounce.,Trader Joe's Chile Spiced Mango Dried Fruit (4 Pack),30.94,0.9669,32.0,Ounce
"What is the price per unit for Davidson's Organics, Moringa Strawberry Rose, Loose Leaf Tea, 16-Ounce Bag?","The price per unit for Davidson's Organics, Moringa Strawberry Rose, Loose Leaf Tea, 16-Ounce Bag is $2.092 per Ounce. The total price is $33.47 for 16.0 Ounce.","Davidson's Organics, Moringa Strawberry Rose, Loose Leaf Tea, 16-Ounce Bag",33.47,2.0919,16.0,Ounce
What is the price per unit for Ryvita Dark Rye Crispbread (250g)?,The price per unit for Ryvita Dark Rye Crispbread (250g) is $1.689 per Ounce. The total price is $14.90 for 8.8 Ounce.,Ryvita Dark Rye Crispbread (250g),14.9,1.6893,8.82,Ounce
"What is the price per unit for Milton's Organic Crackers, Olive Oil & Sea Salt - Certified Organic, Non-GMO Project Verified, Kosher, Made With Authentic Black Olives, Great for Charcuterie Boards - 6 Oz?","The price per unit for Milton's Organic Crackers, Olive Oil & Sea Salt - Certified Organic, Non-GMO Project Verified, Kosher, Made With Authentic Black Olives, Great for Charcuterie Boards - 6 Oz is $1.165 per Ounce. The total price is $6.99 for 6.0 Ounce.","Milton's Organic Crackers, Olive Oil & Sea Salt - Certified Organic, Non-GMO Project Verified, Kosher, Made With Authentic Black Olives, Great for Charcuterie Boards - 6 Oz",6.99,1.165,6.0,Ounce
What is the price per unit for Blazing Star BBQ Ultimate Seasoning Bundle?,The price per unit for Blazing Star BBQ Ultimate Seasoning Bundle is $0.999 per Ounce. The total price is $79.95 for 80.0 Ounce.,Blazing Star BBQ Ultimate Seasoning Bundle,79.95,0.9994,80.0,Ounce
"What is the price per unit for George’s Beverage Company 8 Pack Spicy Bloody Mary Mix - 1L Bottle - Gluten Free, All Natural Mixer?","The price per unit for George’s Beverage Company 8 Pack Spicy Bloody Mary Mix - 1L Bottle - Gluten Free, All Natural Mixer is $2.662 per Fl Oz. The total price is $89.98 for 33.8 Fl Oz.","George’s Beverage Company 8 Pack Spicy Bloody Mary Mix - 1L Bottle - Gluten Free, All Natural Mixer",89.98,2.6621,33.8,Fl Oz
What is the price per unit for 2 Gringo's Chupacabra - Brisket Magic - 12 oz?,The price per unit for 2 Gringo's Chupacabra - Brisket Magic - 12 oz is $1.329 per Ounce. The total price is $15.95 for 12.0 Ounce.,2 Gringo's Chupacabra - Brisket Magic - 12 oz,15.95,1.3292,12.0,Ounce
"What is the price per unit for Orange Lemongrass Dandelion Root Tea (Loose) (8 oz, ZIN: 560733) - 2 Pack?","The price per unit for Orange Lemongrass Dandelion Root Tea (Loose) (8 oz, ZIN: 560733) - 2 Pack is $2.094 per Ounce. The total price is $33.50 for 16.0 Ounce.","Orange Lemongrass Dandelion Root Tea (Loose) (8 oz, ZIN: 560733) - 2 Pack",33.5,2.0938,16.0,Ounce
"What is the price per unit for Jade Leaf Matcha Organic Cafe Style Vanilla Matcha Latte Green Tea Powder, Premium Barista Crafted Mix, Authentically Japanese, 15 Servings (5.3 Ounces)?","The price per unit for Jade Leaf Matcha Organic Cafe Style Vanilla Matcha Latte Green Tea Powder, Premium Barista Crafted Mix, Authentically Japanese, 15 Servings (5.3 Ounces) is $2.074 per Ounce. The total price is $10.99 for 5.3 Ounce.","Jade Leaf Matcha Organic Cafe Style Vanilla Matcha Latte Green Tea Powder, Premium Barista Crafted Mix, Authentically Japanese, 15 Servings (5.3 Ounces)",10.99,2.0736,5.3,Ounce
What is the price per unit for Ball Wide Mouth Bands With Dome Lids Wide Mouth Boxed?,The price per unit for Ball Wide Mouth Bands With Dome Lids Wide Mouth Boxed is $1.100 per Count. The total price is $26.39 for 24.0 Count.,Ball Wide Mouth Bands With Dome Lids Wide Mouth Boxed,26.39,1.0996,24.0,Count
"What is the price per unit for La Choy, Chop Suey Vegetables, 28oz Can (Pack of 3)?","The price per unit for La Choy, Chop Suey Vegetables, 28oz Can (Pack of 3) is $0.119 per Ounce. The total price is $10.02 for 84.0 Ounce.","La Choy, Chop Suey Vegetables, 28oz Can (Pack of 3)",10.02,0.1193,84.0,Ounce
"What is the price per unit for Alter Eco | Dark Chocolate Bars | Pure Dark Cocoa, Fair Trade, Organic, Non-GMO, Gluten Free (6-Pack Burnt Caramel)?","The price per unit for Alter Eco | Dark Chocolate Bars | Pure Dark Cocoa, Fair Trade, Organic, Non-GMO, Gluten Free (6-Pack Burnt Caramel) is $4.055 per Count. The total price is $24.33 for 6.0 Count.","Alter Eco | Dark Chocolate Bars | Pure Dark Cocoa, Fair Trade, Organic, Non-GMO, Gluten Free (6-Pack Burnt Caramel)",24.33,4.055,6.0,Count
