Product_Name,Total_Price,Price_Per_Unit,Unit_Value,Unit
"READYWISE -Favorites Sample Kit, 100 Servings, MRE, Emergency Food Supply, Premade, Freeze Dried Food, Survival Meal, Hiking, Adventure & Camping Essentials, Emergency Preparedness, 25-Year Shelf Life",149.99,149.99,1.0,Count
LEAVES BAY TURKISH ORG,14.99,149.9,0.1,Ounce
"Gift Basket Village Campfire Christmas with Winter Blanket and Making Kit in Designer Wood & Metal Serving Tray, S'mores, 1 Count",149.81,149.81,1.0,Count
"Pepperidge Farm Goldfish Whole Grain Snack Crackers, Cheddar, .75 Ounces, Pack of 300",111.97,149.2933,0.75,Ounce
Ultimate 120-Serving Emergency Meal Kit | 25-Year Shelf Life | High-Calorie Survival Food Made in USA,149.0,149.0,1.0,Count
"Pepperidge Farm Goldfish Whole Grain Snack Crackers, Cheddar Colors, .75 Ounces, Pack of 300",111.04,148.0533,0.75,Ounce
Natures Path Flax Plus W/p Granola (1x25lb) ( Multi-Pack),147.77,147.77,1.0,Count
Yehuda Matzo Gelfilte Fish - Sweet - Case of 12 - 24 oz.,147.46,147.46,1.0,Count
"Kool-Aid Ice Blue Raspberry Lemonade Unsweetened Soft Drink Mix, 0.14-Ounce Envelopes",32.39,147.2273,0.22,Ounce
"Gourmet Gift Baskets, Thank You, Thinking of You, Sympathy Gift Baskets For Women, Friends, Family, Corporate, Him & Her Food Gifts By Dulcet Gift Baskets",145.95,145.95,1.0,Count
"Creamy Hazelnut Coffee Alternative (Unit Count = 4-3 pound bags) Garbanzo Coffee, medium roast, Substitute",145.5,145.5,1.0,Count
"Boneless Breaded Pork Loin Chop - Pork Patty Fritter, 56 Pieces of 3 Ounce, 10.5 Pound -- 1 each.",145.41,145.41,1.0,Count
Clearblue Fertility Monitor,145.24,145.235,1.0,Count
Chocolate Bliss Gourmet Easter Basket,145.0,145.0,1.0,Count
Many Thanks! Gourmet Gift Basket,144.99,144.99,1.0,Count
VineCo Signature Series Italian Amarone Style Wine Making Ingredient Kit,144.5,144.495,1.0,Count
Pillsbury Baker's Plus White Cake Mix,144.18,144.18,1.0,Count
"La Mer Moisturizing Cream for Unisex, 1 Oz, Ivory",143.44,143.44,1.0,Ounce
"Davids Double Chocolate Chip Cookie Dough,1.5 Ounce - 213 per pack -- 1 each.",143.38,143.38,1.0,Count
Wine Ingredient Kit - En Primeur Winery Series - Italian Pinot Grigio,142.98,142.98,1.0,Count
"The Gathering of Saffron Brand Saffron, 1 gm X 12 tins Pure Spanish, Imported by Aiva Products With 2D Barcode",59.99,142.8333,0.42,Ounce
TSAR CAVIAR Imperial Osetra Caviar 4 oz (113G) - OVERNIGHT DELIVERY - Black Caviar Sturgeon - Light-Salted Osetra Caviar Eggs - Gourmet Food Gifts - Malossol Fish Roe,570.0,142.5,4.0,Ounce
"Sugar Free Sports Drink Mix Powder, Lemonade 0.6 oz., PK500",142.31,142.31,1.0,Count
Gourmet Ground Cloves by Its Delish (10 lbs),142.0,142.0,1.0,Count
"READYWISE - Simple Kitchen, Chicken with Wild & White Rice Soup, 18 Servings Per Pack, MRE, Gluten Free, Hiking, Camping Essentials, Food, Soup Mix, for Events, Restaurants, Emergency Food Supply, Meal Prep, or Daily Use, Pack of 4",141.98,141.975,1.0,Ounce
"Fusion Select 2 Packs Furikake Rice Seasoning - Katsuo Komi Furikake Seasoning Mix with Shrimp, Bonito Flakes - Japanese Spices Topper for Noodles, Onigiri, Salad, Popcorn, Tofu, Stir Fried Vegetables",9.99,141.7021,0.07,Ounce
"| SPIRIT OF ART ⇄ SAFFRON | Premium Spanish Saffron, 100% Natural And Hand Picked, Grade A+, Natural Color, Natural Smell, Pleasant Aroma, 3 Grams ≈ 0.11 Ounce",14.99,141.6824,0.11,Ounce
"L'Oreal Paris Cosmetics Color Riche Matte Lip Color, Matte-cademia, 0.13 Ounce",18.4,141.5385,0.13,Ounce
Dave's Gourmet Original Insanity Hot Sauce Featured On Hot Ones Season 1-1 Gallon,140.0,140.0,1.0,Count
"Sugar Free Chocolate Discs by Its Delish, Bag | Dark Chocolate Meltables For Baking & Confectionery, Pastry Chefs, Chocolatiers, Home Bakers & Sweet Snacking | Non-Dairy, Vegan, Kosher Parve (10 Lbs)",139.99,139.99,1.0,Count
"READYWISE - Breakfast Bucket, 120 Servings, Emergency, MRE Meal, Food Supply, Premade, Freeze Dried Survival Food for Hiking, Adventure & Camping Essentials, Individually Packaged, 25 Year Shelf Life",139.99,139.99,1.0,Count
Durango® Westward™ Dark Chestnut & Black Onyx Western Boot Size 7.5(M),139.97,139.97,1.0,count
Delight Expressions® Season Greetings Holiday Gourmet Gift Basket - Christmas Food Basket,139.95,139.95,1.0,Count
"Beef Steak Finger - Fritter, 160 Pieces of 1 Ounce, 10 Pound -- 1 each.",139.38,139.38,1.0,Count
Vinegar; Balsamic Wine,139.0,139.0,1.0,Count
McCormick Organic Saigon Cinnamon Sticks (Pack of 12),103.9,138.5333,0.75,Ounce
Milk (Lactee) Couverture Baking Chocolate 35% by Cacao Noel (11 pound),138.28,138.28,1.0,Count
"General Mills Raisin Bran Muffin Batter, 18 Pound - 1 each.",137.86,137.86,1.0,Count
"Wandering Bear Cold Brew Coffee Boxed 96 ounces, Pack of 3 (Caramel)",136.96,136.96,1.0,Count
"Appleways Simply Wholesome Oatmeal Bar, Apple, 2.4oz, 160 per case",136.69,136.69,1.0,Count
Its Delish Dark Chili Powder (20 Lbs Bulk),135.03,135.03,1.0,Count
"GreatFoods with Ghirardelli Chocolates, Cookies and Sweets Ultimate Gift Basket Brimming with Chocolate Classics like Chocolate Chip Cookies, cocoa Mix and More - Red Ribbon",134.99,134.99,1.0,Count
VineCo Estate Series German Gewurztraminer Wine Making Ingredient Kit,133.5,133.5,1.0,Count
VineCo Estate Series Australian Grenache Rose Wine Making Ingredient Kit,133.5,133.5,1.0,Count
"FOUR SIGMATIC Organic Cordyceps & Chaga Mix, 0.09 OZ",11.99,133.2222,0.09,Ounce
Heinz Tomato Organic Ketchup -- 1 each.,130.65,130.65,1.0,Count
"Panda Express Kung Pao Stir Fry Sauce, 18.75 OZ (Pack of 20)",130.43,130.43,1.0,Count
"igourmet Eclectic International Cheese Assortment - Handpicked Cheeses with Accompaniments and Crackers for Gourmet Delights - Unique Selection of Gouda, Cheddar, Murcia al Vino, and More!",129.99,129.99,1.0,Count
Omaha Steaks St. Patrick’s Day Complete Corned Beef & Cabbage Meal (Meal for 8),129.99,129.99,1.0,Count
"Whole Pink Peppercorns by It's Delish –– 5 lbs Bulk Bag, Whole Pink and Red Pepper - Premium Dried Peppercorns for Grinder Refill – All Natural, Kosher & Fresh",129.99,129.99,1.0,Count
"Otis Spunkmeyer Sweet Discovery Strawberry Shortcake Cookies Dough, 1.33 Ounce -- 240 per case.",172.55,129.7368,1.33,Ounce
Chocolate Perfection Signature Valentine Gift Tower,129.43,129.43,1.0,Count
"Henry and Henry Crown Filling Cherry, 20 Pound -- 1 each.",129.2,129.2,1.0,Count
"Private Reserve Lodi, California Cabernet Sauvignon Wine Ingredient Kit",129.03,129.03,1.0,Count
Readywise 150 Serving Emergency Food Bucket,129.0,129.0,1.0,Count
Keurig K130 K-Cup Brewer,127.08,127.08,1.0,count
"Sunwise Sanwiches, Sun Butter (Peanut Free) & Grape Jelly, 2.8 oz., (96 count)",126.99,126.99,1.0,Count
"King and Prince Mrs.Fridays Gourmet Breaded Pollock - 3 to 4 Ounce, 10 Pound -- 1 each.",126.77,126.77,1.0,Count
Mahon Spanish Cheese DOP - Whole Wheel (6 pound),125.99,125.99,1.0,Count
Lehi Roller Mills Raspberry Muffin Mix (Pack of 20),125.66,125.66,1.0,Count
Farmland Gold Medal Beef Hot Dog - 8:1-1 each.,125.61,125.61,1.0,Count
"Otis Spunkmeyer Sweet Discovery Turtle Cookies Dough, 1.33 Ounce -- 240 per case.",162.79,125.2231,1.3,Ounce
Sympathy Gift Basket (6.1 pound),124.98,124.98,1.0,Count
"Salsa Queen Gourmet Freeze-Dried Mango Pineapple Salsa | Fresh Ingredients | 3+ year life | No Refrigeration Needed | Vegan, Keto, and Gluten Free | Camping, Travel, Outdoors, Space Travel",14.99,124.9167,0.12,Ounce
"Salsa Queen Gourmet Freeze-Dried Zesty Cantina Salsa | Fresh Ingredients | 3+ year life | No Refrigeration Needed | Vegan, Keto, and Gluten Free | Camping, Travel, Outdoors, Space Travel",14.99,124.9167,0.12,Ounce
Savory Choice Beef Broth Concentrate - 4.5 Liter (1.19 Gallons) - 20x Concent...,124.76,124.76,1.0,Count
The Original Cakerie Lemon and Cream Dessert Shortcake -- 2 per case.,248.93,124.465,2.0,Count
"Black Radiance Precision Brow Sculptor, Blackish Brown, 0.06 Gram",7.46,124.3333,0.06,gram
On The House Sauvignon Blanc Style Wine Ingredient Kit,124.0,123.995,1.0,Count
McVitie's Original Hobnobs 255g (Pack of 30),123.64,123.64,1.0,Count
"RSVP INTERNATIONAL Spreaders (24 piece. Display), 1 EA",123.22,123.22,1.0,Count
"Star Anise by Its Delish, (5 lbs)",122.99,122.99,1.0,Count
"Bloomingmore | Fresh Cut Essence Greens Bouquet | 5-Pack | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",122.98,122.98,1.0,Count
"Italian Food Gift Basket of Pasta, Marinara, Cheeses, Sausage, Crackers and Cookies by GourmetGiftBaskets.com",122.98,122.98,1.0,Count
Savory Choice Vegetable Broth Concentrate - 4.5 Liter (1.19 Gallons) - 20x Co...,122.5,122.5,1.0,Count
Hostess Kazbars Triple Chocolate,4.29,121.5297,0.04,Ounce
The Original Cakerie Mango Mousse Dessert Cake -- 2 per case.,243.04,121.52,2.0,Count
Chip de tortilla One Chip Challenge 2023…,25.5,121.4286,0.21,Ounce
Spectrum Naturals Mayonnaise - Canola - 16 oz - case of 12,120.99,120.99,1.0,Count
"Kraft Premium Caramel Bits - 25 lb. box, 1 per case",120.95,120.95,1.0,Count
"Revlon Color Stay Ultimate Liquid Lipstick, Premier Plum, 0.1 Ounce",12.08,120.75,0.1,ounce
"The Cheesecake Factory 10"" Wild Strawberries & Cream Cheesecake 14 Slices- 80 ounce (Pack of 2)",241.12,120.56,2.0,Count
"Fanale Coconut Jelly Topping nata de coco for Boba Tea | Ice Cream | Yogurt | Smoothie | Milk Tea | Desserts Sakura Heart Shaped, 6.6 pound (Pack of 4) | JEL030-CS",120.0,120.0,1.0,Count
"Patriot Pantry, 2-Week Emergency Food Supply – 118 Servings By Ready Hour",120.0,120.0,1.0,Count
Savannah Bee Company's Gold Reserve Honey - 100% Pure and Real Honey - Raw Unfiltered Honey,120.0,120.0,1.0,Ounce
Silver Candy for Candy Buffet Table (Approx 13 lbs) Dessert Bar Supplies,119.99,119.99,1.0,Count
Everything for Her Classic Gift Basket (3.2 pound),119.99,119.99,1.0,Count
"Imitation Bacon Bits by Its Delish, 15 LBS Bulk Bag | Kosher Parve Vegan for Salad Topping, Eggs, Baked Potatoes with Smoky Flavor and Crunch",119.99,119.99,1.0,Count
14lb+ Pink Candy Buffet - Deluxe (Serves 24-36),119.99,119.99,1.0,Count
Home Brew Ohio Avangard 2-Row Grain 55lb,119.99,119.99,1.0,Count
STARBUCKS PEANUTS Japan Limited Stainless Bottle Orange PEANUTS Charlie Brown 473ml,119.92,119.92,1.0,Count
Wine Ingredient Kit - CRU SELECT California Style Cabernet Syrah Zinfandel,119.5,119.5,1.0,Count
Wine Ingredient Kit - CRU SELECT Australian Style Shiraz,119.5,119.5,1.0,Count
"Maybelline New York Dream Lumi Highlighting Concealer, Medium/Deep, 0.05 Fluid Ounce",5.95,119.0,0.05,Fl Oz
"Tillamook Ice Cream, 3 Gallon Tub (Old Fashioned Vanilla)",118.73,118.73,1.0,Count
"Spice Islands Organic Bay Leaves, .14 Ounce",16.58,118.4643,0.14,Ounce
Regal Bulk Ground Cayenne Pepper - 25 lb.,118.0,118.0,1.0,Count
"Magnificent Mixed Greens Bouquet | 5-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",117.98,117.98,1.0,Count
A Gift Inside California Farmstead Fruit Basket,117.73,117.73,1.0,count
The Gourmet Choice Gift Basket by Wine Country Gift Baskets,117.64,117.64,1.0,Count
Zoe Diva Select Oil Olive Tin,116.65,116.65,1.0,Count
"18"" Heap-O-Corn Bag, 1,000/case",116.6,116.605,1.0,Count
"Josephs Gourmet Pasta Par Cooked Egg Pasta Sheets, 10.01 Pound -- 1 each.",116.29,116.29,1.0,Count
"Farmland Silver Medal Fully Cooked Skinless Sausage Link, 20:1-1 each.",116.29,116.29,1.0,Count
"Bella Sun Luci 1 Gallon Italian Sun Dried Tomatoes Topper Julienne, 1 Gallon - 1 each.",116.05,116.05,1.0,Count
"Otis Spunkmeyer Sweet Discovery Triple Chocolate Cookies Dough, 1.33 Ounce -- 240 per case.",154.04,115.8195,1.33,Ounce
"TURNER Certified Raw New Zealand Manuka Honey with UAF1000+ (8.8oz/250g) 1000x More Power, Greatest Gift to Support Everyday Wellness, Natural Probiotic, Prebiotic, Antioxidant Superfood, 3 Jars",114.99,114.99,1.0,Count
Golden Dipt Batter Clam Fry 50 Pound,114.97,114.97,1.0,Count
"Tillamook Ice Cream, 3 Gallon Tub (Chocolate)",114.15,114.15,1.0,Count
Rose Pink Edible Pearlescent Food Color (2 grams),7.99,114.1429,0.07,Ounce
"Three Spirit Non-Alcoholic Alternative Spirit - The Elixir, 50cl | Adaptogens, Cacao, Damiana & Lion's Mane | Active Botanical, Gluten Free & Vegan Drinks",57.0,114.0,0.5,Liters
"Red Dragon Welsh Cheese- Whole Cheese Wheel (4.5 pound) - ged for three months, made from cow's milk, and is vegetarian",113.99,113.99,1.0,Count
"SPIRIT OF ART SAFFRON - Frappé Saffron, Saffron Drink with Ice, Spanish Saffron, For Cooking Everything, With A Natural Aroma (15 Grams | 0.53 Ounce)",59.99,113.3812,0.53,Ounce
"Golden Saffron, Finest Pure Premium All Red Saffron Threads, Grade A+ Super Negin, Non-GMO Verified. For Tea, Paella, Rice, Desserts, Golden Milk and Risotto (75.0 Grams)",299.95,113.3812,2.65,Ounce
Té Baja Talla,11.99,113.327,0.11,Ounce
VineCo Niagara Mist Peach Wine Ingredient Kit,112.97,112.97,1.0,Count
"COOKIES, RASPBERRY LINZER , Pack of 1212",112.81,112.81,1.0,Count
"Cajun Spice Blend by Its Delish, (20 lbs)",112.63,112.63,1.0,Count
Organic Apple Sauce 25 Ounces (Case of 12),112.49,112.49,1.0,Count
"Whole Allspice Berries by Its Delish, Bulk (10 lbs)",112.0,112.0,1.0,Count
"Garden Vegetable Soup Mix by It’s Delish, 10 lbs Bulk Bag | Natural Dehydrated Vegetables for Ramen Noodles, Soup, and Chip Dip | Veggies Blend with Beets & Carrots | Vegan, Gluten-Free, and Kosher",112.0,112.0,1.0,Count
"Gourmet Glazed Cashews by Its Delish, 10 lbs Bulk Bag – Bulk Nuts, Vegan, Kosher, Non-GMO, No Artificial Flavors – Healthy Protein-Packed Lightly Sweetened Cashews Filberts for Dessert, Baking, Salad Topping & Snack Time",111.99,111.99,1.0,Count
"Alluring Greens Mixed Bouquet- 5-Pack- Fresh Cut Greenery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",111.98,111.98,1.0,Count
Old Dominion - Meat and Candy (WM Exclusive Candy Color Splattered Vinyl),111.98,111.975,1.0,Count
All City Candy's Cravings Collection Gourmet Hand Dipped Chocolate Covered Pretzels and Cookies Basket,111.5,111.5,1.0,Count
"Executive Suite™ Non-Dairy Coffee Creamer, 12 Oz, Case Of 24 Canisters, 8 x 3 Per Pack",111.49,111.49,1.0,Count
"Otis Spunkmeyer Value Zone Chocolate Chip Cookies Dough, 1 Ounce - 320 per case.",111.41,111.41,1.0,ounce
"Luxenhome Stone Plant Pots, Large Planters for Indoor Outdoor Plants, 24"" Tall Planter for Front Porch, Flower Pots, Planting Pot Used in Patio, Living Room, Macetas Para Plantas Interior Elegantes",110.99,110.99,1.0,Count
"C & H Pure Cane Sugar, Dark Brown 32 oz (Pack of 16)",110.82,110.82,1.0,Count
"GIMME Organic Seaweed Snack Teriyaki, 0.17 OZ",18.81,110.6471,0.17,Ounce
Nearly Natural Cosmos W/vase Silk Flower Arrangement,110.01,110.01,1.0,Count
Premium Siberian Caviar - Baerii Sturgeon Roe - (2 ounce (56 grams),110.0,110.0,1.0,Ounce
Keto Gift Basket,109.99,109.99,1.0,Count
Candy Confetti Painted Roses 50 cm - 50 Stems,109.98,109.98,1.0,Count
"Bloomingmore Chic Greens Bouquet | 15-Pack | Fresh Cut Greenery | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",109.98,109.98,1.0,Count
"King's Hawaiian Original Rolls, 24 oz., (10 count)",109.54,109.545,1.0,Count
"Luzianne Unsweet Fresh Brewed Iced Tea - Bag in Box, 3 Gallon -- 1 each.",109.32,109.32,1.0,Count
"MOUNTAIN ESSENTIALS Emergency Food Rations SOS 3600 Calorie Food Bar 6 Pack & S.O.S. Emergency Water 4.22 Oz Pack of 12 with 5 Year Shelf Life | Preparedness Kit for Outdoor Camping, Hiking",109.0,109.0,1.0,Count
"Dried Blueberries by Its Delish, 10 Lbs Bulk | Fresh Dry Blueberry Fruit Berry Snack Blue Berries for Baking and Snacking | Healthy Snacks, Vegan, Kosher",109.0,109.0,1.0,Count
igourmet Organic Caveman Blue Cheese by Rogue Creamery (7.5 ounce) - Pack of 3,108.99,108.99,1.0,Count
Domino Light Brown.Sugar -- 50 Pound,108.95,108.95,1.0,Count
"EXOTIC BioNaturals Saffron | Super Negin Grade A+ Saffron Spice | Non-GMO Verified Saffron Threads for Cooking Risotto, Paella, Bomba Rice, Golden Milk and Saffron Tea (28.35 Grams / 1 ounce )",108.51,108.6948,1.0,Ounce
Mrs. Fields Nibblers Cookies Variety Pack (ST17EV226),108.62,108.62,1.0,Count
"The Special Greens Bouquet | 5-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",107.98,107.98,1.0,Count
"LorAnn Lemon Oil SS, Natural Flavor, 16 ounce bottle",107.97,107.97,1.0,Fl Oz
"Gourmet White Sesame Seeds (Hulled) by It's Delish – 20 lbs Bulk Bag– Premium Whole Sesame Bulk Restaurant & Foodservice Size - Great for Cooking, Baking, Coating, Topping & Food Décor",107.83,107.83,1.0,Count
"Commodity Canned Fancy Garbanzo Beans Chickpeas, 110 oz., 6 per case",107.6,107.6,1.0,Count
"White Alstroemeria Peruvian Lilies | 90 Stems | Floral Arrangements For Delivery By Bloomingmore | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",106.98,106.98,1.0,Count
"Bloomingmore | Purple Alstroemeria Peruvian Lilies | 90 Stems | Floral Arrangements | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",106.98,106.98,1.0,Count
"Tillamook Ice Cream, 3 Gallon Tub (Cookies & Cream)",106.89,106.89,1.0,Count
"Frontier Herb Organic Bulk Bay Leaf, 16 Ounce -- 3 per case3",106.77,106.77,1.0,Count
"Guittard Extra Dark Chocolate Chips, 11.5 Ounce - 12 per case.",106.69,106.69,1.0,Count
"Maybelline New York Color Sensational Matte Metallic Lipstick, White Gold, 0.15 Ounce",15.99,106.6,0.15,Ounce
"| SPIRIT OF ART ⇄ SAFFRON | Premium Spanish Saffron, 100% Natural And Hand Picked, Grade A+, Natural Color, Natural Smell, Pleasant Aroma, 4 Grams ≈ 0.14 Ounce",14.99,106.2367,0.14,Ounce
"Dried Chopped Beets by Its Delish, 10 lbs Bulk Bag | Gourmet Dehydrated Raw Beet Root Vegetables | Cooking, Camping, Emergency Food Supply | All Natural, No Sugar or Color Added | Vegan, Kosher",106.0,106.0,1.0,Count
Sauce Tartar Sqeeze 7/16 Ounce,46.52,105.7273,0.44,Ounce
"Douwe Egberts Pure Gold Instant Coffee, 190 g",19.99,105.2105,0.19,kg
"Silver Jordan Almonds by Its Delish, 5 LBS Bulk | Candied Almond Nut with Sweet Hard Candy Coating - Bulk Wedding Favors and Party Buffets, Silver Theme Parties - Vegan & Kosher",105.0,105.0,1.0,Count
Coolbreeze® Beverages Ready to Use Premium Frozen Slush Drink Mix - Lemonade - One Case (Six 1/2 Gal Bottles),105.0,105.0,1.0,Count
"READYWISE - Bug Out Bucket, 60 Servings, MRE, Emergency Food Supply, Premade, Freeze Dried Food, Survival Meal, Hiking, Adventure & Camping Essentials, Emergency Preparedness, Up to 15 Year Shelf Life",105.0,104.995,1.0,Count
"GreatFoods Epicurean Meat and Cheese Premier Gift Basket, Gourmet Food Gifts, Charcuterie Board, Party Platter",104.99,104.99,1.0,Count
755 pcs Christmas Gift Tin with Holiday Chocolate Candy Mix (11.5 lbs),104.99,104.99,1.0,Count
Coolbreeze Beverages FCB Frozen Carbonated Beverage Soda 5 Gallon Bag in Box BIB - Cherry Flavor Syrup,104.99,104.99,1.0,Count
"From You Flowers - Ultimate Milk Chocolate Cake for Birthday, Anniversary, Get Well, Congratulations, Thank You, All Occasions",104.97,104.97,1.0,Count
Over the Hill Birthday Basket,104.88,104.88,1.0,Count
Slush Puppie Mango Flavored Base - 6 .5 Gallons,104.75,104.75,1.0,Count
SlushPuppie Slush Puppie Kiwi Strawberry Flavored Base 6 5 Gallons,104.75,104.75,1.0,Count
"Bridgford Foods Old South Sweet Dinner Roll, 1 Ounce -- 240 per case.",104.43,104.43,1.0,Fl Oz
Bread Progresso Crumbs Italian 25 Pound Each,104.41,104.41,1.0,Count
Traditional Dark Liquid Malt Extract (32 Pound Growler),103.99,103.99,1.0,Count
Purity Farms Ghee - Clarified Butter - Case of 12 - 7.5 oz.,103.99,103.99,1.0,Count
"Sun Mixed Greens Bouquet | 5-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",103.98,103.98,1.0,Count
Pinky Up Mochi Ice Cream Boba Tea Sachets - Low calorie Whole Leaf Green Tea Bubble Tea - Boba Gift 12 Biodegradable Tea Bags,10.96,103.5444,0.11,Ounce
"WOODSTOCK FARMS Organic Wheat Berries, 1 EA",103.24,103.24,1.0,Count
Thank You Mint Favor Kit Assortment May Vary,103.11,103.11,1.0,Count
"Smukers Natural Honey, 1/2 Ounce -- 200 per case.",51.5,103.0,0.5,Ounce
Puree Thick-it 14 Oz. Can Seasoned Chicken Patty Ready to Use Puree Case of 12,102.97,102.97,1.0,Count
Delicious Plus Collection Gourmet Chocolate Covered Treats Gift Basket from All City Candy,102.0,102.0,1.0,Count
VineCo Estate Series Italian Montepulciano Wine Making Ingredient Kit,101.98,101.98,1.0,Count
VineCo Estate Series California Sauvignon Blanc Wine Making Ingredient Kit,101.98,101.98,1.0,Count
"Saffron Threads, Pure Red Saffron Spice Threads - Super Negin Grade - Best Flavor | For Culinary Use Such as Tea, Paella Rice, Risotto, Tachin, Basmati, Rice (28 Grams)",99.99,101.2352,0.99,Ounce
"Ground Ginger Powder by Its Delish, (15 lbs)",101.11,101.11,1.0,Count
"Gourmet Curry Powder All Natural by Its Delish, (15 lbs)",101.11,101.11,1.0,Count
Wine Ingredient Kit - CRU SELECT French Style Merlot,100.95,100.95,1.0,Count
Wine Ingredient Kit - CRU SELECT Italian Style Sangiovese,100.95,100.95,1.0,Count
Wine Ingredient Kit - Cru International - California Cabernet Sauvignon Style,100.95,100.95,1.0,Count
"Chefmaster Blue Dry Powder Candy Color | Vibrant Shades | Chocolate, Macarons, Fondant | Decorating | Professional-Grade Dye | Easy-to-Use | Manufactured in USA | 3 grams",10.67,100.8507,0.11,Ounce
"English Tea Store Organic Honey Sticks, Agave, 0.25 Pound",25.06,100.24,0.25,Ounce
"71B-1122 Wine Yeast, 5 grams - 100-Pack",99.99,99.99,1.0,Count
"READYWISE - Fruit and Vegetable Bucket, 104 Servings, Emergency Food Supply, Freeze Dried Food, Survival Meal, Hiking, Adventure & Camping Essentials, Emergency Preparedness, Up to 25 Year Shelf Life",99.99,99.99,1.0,Count
iGourmet Rosé Cheese Pairing Collection | Artisanal Cheeses for Wine | Gourmet Cheese Gift Box for Entertaining & Tasting,99.99,99.99,1.0,Count
"Sqwincher Liquid Concentrate, Cherry, 64 fl oz (Pack of 6)",99.97,99.97,1.0,Count
"From You Flowers - Snickers Candy Bouquet for Birthday, Anniversary, Get Well, Congratulations, Thank You",99.97,99.97,1.0,Count
Classic Gourmet Favorites Gift Basket,99.97,99.97,1.0,Count
"Sqwincher Liquid Concentrate Electrolyte Replacement, 5 Gallon Yield, Cherry 030321-CH (Case of 6)",99.97,99.97,1.0,Count
From You Flowers - The Ultimate Candy Birthday Cake,99.97,99.97,1.0,Count
"Dulcet Gift Baskets Grand Signature Bakery Gift Basket Filled it with Fresh Baked Treats Great Gift for the holidays Ideal for Him, Her, Men, Woman, Family Parties, Corporate Clients and coworkers",99.95,99.95,1.0,Count
"Revlon Ultra HD Lip Lacquer, HD Pink Diamond",19.99,99.95,0.2,Fl Oz
"Grumpy Butcher Fully Cooked Beef Kebabs, 4 pack (1 lb each) - Middle Eastern Style Kofta Kabob Made With Lean Ground Beef, Warm Spices & Herbs - Sous Vide Cooked - Just Heat & Eat",99.95,99.95,1.0,Count
"igourmet Holiday Cheese Sampler - Premium Christmas Gourmet Cheese Assortment and Sampler with Manchego, English Cheddar + More",99.9,99.9,1.0,Count
"Revlon PhotoReady Primer, Shadow + Sparkle, Impressionist, 0.1 Ounce",9.98,99.8,0.1,Ounce
A Gift Inside Sweet & Savory Farmstead Fruit Basket,99.74,99.74,1.0,Count
"Jelife Brown Edible Luster Dust - 5 Grams Food Grade Cake Dust Shimmer Powdered, Edible Metallic Powder Food Coloring for Cake Decorating, Chocolates, Fondant, Drinks, Painting & More, Vegan",17.52,99.3197,0.18,Ounce
"Gourmet Black Cocoa Powder by Its Delish, 10 LBS Bulk | Premium Chocolatier Grade Dutch 12% Fat Dark Cocoa Powder for Baking, Coloring and Flavoring - Vegan, Non-Dairy, Kosher",98.99,98.99,1.0,Count
"Pennant Foods Flat Stay Fresh Danish Dough, 15 Pound -- 2 per case.",197.87,98.935,2.0,Count
Quaker Rice Cakes Everything Bagel 5.9 Oz Bag,3.49,98.8669,0.04,Ounce
Glutino Pretzel Fmly Bag Wf Gf,98.72,98.72,1.0,Count
Crawfords Garibaldi - 100g - Pack of 8 (100g x 8),27.81,98.5471,0.28,Ounce
Coke Zero Soda Syrup Concentrate 2.5 Gallon Bag in Box BIB Sodastream,98.0,98.0,1.0,Count
"Commodity Beans Triple Clean Pinto Bean, 50 Pound - 1 each",97.99,97.99,1.0,Count
Reed's Ginger Beer Crystallized Ginger - Original - Case of 6 - 16 oz.,97.99,97.99,1.0,Count
A Gift Inside Branch to Box 16 Count Avocado Box,97.83,97.83,1.0,Count
"Trident Seafoods Alaskan Whole Grain Breaded Pollock, 3.6 Ounce -- 1 each.",97.57,97.57,1.0,Count
"El Guapo Whole Cinnamon Canela Entera, 0.5 Oz",48.69,97.38,0.5,Ounce
"Honey Roasted Cashews by It's Delish, 10 LBS Bulk | Gourmet Cashew Nuts in Honey Sugar Coating, Sweet & Salty Nut Snack - Non-Dairy, Kosher Parve",97.0,97.0,1.0,Count
"BBQ Honey Roasted Pistachio (Shelled, No Shell) by It's Delish, 5 lbs Bulk | Gourmet Pistachio (Shelled, No Shell) in Honey Sugar Coating and Barbecue Seasoning, Sweet & Savory Seed Snack - Vegan, Kosher Parve",96.99,96.99,1.0,Count
